k,mu,c,n,D1,D2,D3,D4,multiplicity_test
2,1,1,7,65,1633,21905,96037,passed
3,1,1,22,86,3508,78776,3353872,nonconstant_conjugate_multiplicity
4,1,2,35,109,6697,306181,3342889,passed
4,2,2,17,127,10945,402463,23351257,noninteger_multiplicity
5,2,2,31,149,15721,797597,82735933,nonconstant_conjugate_multiplicity
5,2,3,26,154,17236,1057672,37993168,nonconstant_conjugate_multiplicity
6,2,2,52,164,19120,1010240,112917760,nonconstant_conjugate_multiplicity
6,2,3,42,174,22500,1659960,118188720,noninteger_multiplicity
6,2,4,37,179,24265,2023595,4763305,nonconstant_conjugate_multiplicity
6,3,3,27,189,27945,1607445,151460685,nonconstant_conjugate_multiplicity
7,2,3,64,188,26272,2015360,158371840,passed
7,3,4,36,216,37584,3079296,218350080,nonconstant_conjugate_multiplicity
8,2,3,93,195,27657,1855035,50455629,noninteger_multiplicity
8,2,4,79,209,33313,3170321,82955761,nonconstant_conjugate_multiplicity
8,4,4,37,251,52633,4102595,529127137,nonconstant_conjugate_multiplicity
9,3,3,82,242,46900,3822632,656682256,nonconstant_conjugate_multiplicity
9,3,4,70,254,52852,5523992,753503920,noninteger_multiplicity
9,3,6,58,266,59092,7444808,27361840,noninteger_multiplicity
9,4,5,46,278,65620,6713144,706858768,noninteger_multiplicity
9,4,6,43,281,67297,7256825,206397565,noninteger_multiplicity
10,3,3,111,249,49041,3498201,417898845,nonconstant_conjugate_multiplicity
10,3,5,83,277,63769,7971229,750289813,nonconstant_conjugate_multiplicity
10,3,6,76,284,67696,9287936,290407936,nonconstant_conjugate_multiplicity
10,5,5,47,313,85009,8353657,1364061301,nonconstant_conjugate_multiplicity
10,5,6,44,316,86896,9030016,775290880,noninteger_multiplicity
10,6,6,36,324,92016,7138368,478690560,nonconstant_conjugate_multiplicity
11,5,6,56,340,101344,12424960,1732673536,noninteger_multiplicity
12,3,6,123,309,79929,11482749,434692089,nonconstant_conjugate_multiplicity
12,4,4,112,320,86848,9543680,2200797184,nonconstant_conjugate_multiplicity
12,4,6,90,342,101412,15180696,2162190672,nonconstant_conjugate_multiplicity
12,4,8,79,353,109057,18367649,83097745,nonconstant_conjugate_multiplicity
12,6,6,57,375,125073,14826375,2926981737,nonconstant_conjugate_multiplicity
13,6,7,66,402,144756,20680488,3587956560,noninteger_multiplicity
14,7,7,67,437,172825,23986493,5551614877,nonconstant_conjugate_multiplicity
15,5,5,142,398,138964,19201112,5549575696,nonconstant_conjugate_multiplicity
15,5,6,128,412,150304,24548608,6380136448,noninteger_multiplicity
15,5,7,118,422,158644,28663928,5959205200,nonconstant_conjugate_multiplicity
15,5,10,100,440,174160,36713600,191296000,nonconstant_conjugate_multiplicity
15,6,7,96,444,177696,30561408,7862427648,noninteger_multiplicity
15,6,9,86,454,186676,35326648,4072354384,nonconstant_conjugate_multiplicity
15,7,8,76,464,195856,31945472,6627877888,nonconstant_conjugate_multiplicity
15,7,10,70,470,201460,34992440,1857713200,nonconstant_conjugate_multiplicity
16,4,6,197,379,122905,17109955,1175745385,nonconstant_conjugate_multiplicity
16,4,8,167,409,146545,28133065,1376203585,nonconstant_conjugate_multiplicity
16,5,6,153,423,158193,25800039,6670234089,multiplicity_below_valency
16,5,8,131,445,177289,35639605,5904374593,nonconstant_conjugate_multiplicity
16,6,8,107,469,199225,38732365,8664752305,nonconstant_conjugate_multiplicity
16,6,10,97,479,208705,44099135,3600730825,nonconstant_conjugate_multiplicity
16,8,8,77,499,228265,36299755,9634695025,nonconstant_conjugate_multiplicity
16,8,10,71,505,234289,39778345,4389103225,nonconstant_conjugate_multiplicity
17,8,9,86,526,254644,46685656,11270615440,noninteger_multiplicity
18,6,6,172,476,203248,33822656,11745494272,nonconstant_conjugate_multiplicity
18,6,9,138,510,236772,53335800,11341553904,nonconstant_conjugate_multiplicity
18,6,12,121,527,254401,64404143,374946025,nonconstant_conjugate_multiplicity
18,9,9,87,561,291393,52231905,15635964357,nonconstant_conjugate_multiplicity
19,9,10,96,588,321120,65366784,17997355008,nonconstant_conjugate_multiplicity
20,5,10,211,509,233161,56010869,3346946761,nonconstant_conjugate_multiplicity
20,10,10,97,623,362209,72248687,24078172921,nonconstant_conjugate_multiplicity
21,5,8,274,482,205108,36394856,550157296,nonconstant_conjugate_multiplicity
21,6,6,267,489,211905,27572265,3655261485,nonconstant_conjugate_multiplicity
21,6,7,242,514,236980,41870440,10375869520,nonconstant_conjugate_multiplicity
21,6,10,197,559,285265,72527455,13808203525,nonconstant_conjugate_multiplicity
21,7,7,202,554,279700,54436040,22069192720,nonconstant_conjugate_multiplicity
21,7,8,187,569,296545,65494745,24873950725,noninteger_multiplicity
21,7,10,166,590,320884,82271960,22898959600,nonconstant_conjugate_multiplicity
21,7,12,152,604,337600,94320640,14024581120,nonconstant_conjugate_multiplicity
21,7,14,142,614,349780,103360760,660701680,nonconstant_conjugate_multiplicity
21,10,11,106,650,395284,88454600,27352290256,noninteger_multiplicity
21,10,14,97,659,407065,97443035,7526943925,nonconstant_conjugate_multiplicity
22,6,7,276,516,237744,38415168,6057400320,noninteger_multiplicity
22,6,8,254,538,260932,52528168,11448863440,nonconstant_conjugate_multiplicity
22,6,11,212,580,307888,83863360,11622618112,nonconstant_conjugate_multiplicity
22,7,9,199,593,323137,78646625,26908019605,nonconstant_conjugate_multiplicity
22,7,10,188,604,336304,88058368,25850971648,nonconstant_conjugate_multiplicity
22,7,11,179,613,347257,96084685,22692010285,nonconstant_conjugate_multiplicity
22,11,11,107,685,440713,96815845,35547078637,nonconstant_conjugate_multiplicity
22,11,14,98,694,453124,106701112,14344191568,nonconstant_conjugate_multiplicity
23,11,12,116,712,477136,116414848,39942622720,noninteger_multiplicity
24,6,8,324,540,260496,44089920,589545216,nonconstant_conjugate_multiplicity
24,6,9,301,563,285865,60250571,6438451333,nonconstant_conjugate_multiplicity
24,6,12,255,609,339777,98005761,6908182929,nonconstant_conjugate_multiplicity
24,8,8,232,632,368320,82068992,38039474176,nonconstant_conjugate_multiplicity
24,8,12,186,678,428580,128898648,36433080720,nonconstant_conjugate_multiplicity
24,8,16,163,701,460297,155504933,1078881265,nonconstant_conjugate_multiplicity
24,12,12,117,747,526905,126399123,50691447297,nonconstant_conjugate_multiplicity
25,6,10,316,584,308656,71266688,4100303872,nonconstant_conjugate_multiplicity
25,8,15,186,714,477396,163194696,17501273424,nonconstant_conjugate_multiplicity
25,10,10,176,724,491776,130852864,69796765696,nonconstant_conjugate_multiplicity
25,10,12,161,739,513721,149781259,60945144733,nonconstant_conjugate_multiplicity
25,10,15,146,754,536116,169707304,32722511056,nonconstant_conjugate_multiplicity
25,12,13,126,774,566676,149713272,56438561808,nonconstant_conjugate_multiplicity
